zipcodes,location,city,population,avg_Income,national Rank
15201,"40.474607, -79.952113",Pittsburgh,14326,27031,"#26,607"
15202,"40.506932, -80.069067",Pittsburgh,21022,34727,"#17,787"
15203,"40.425326, -79.976226",Pittsburgh,9613,27595,"#26,044"
15204,"40.456102, -80.063805",Pittsburgh,9502,32859,"#19,885"
15205,"40.437901, -80.097688",Pittsburgh,22586,38507,"#13,452"
15206,"40.471425, -79.914182",Pittsburgh,32482,28517,"#25,164"
15207,"40.398458, -79.936958",Pittsburgh,13203,28156,"#25,502"
15208,"40.451838, -79.900079",Pittsburgh,13352,24178,"#28,698"
15209,"40.499354, -79.971612",Pittsburgh,12891,38292,"#13,658"
15210,"40.407046, -79.986256",Pittsburgh,31216,27041,"#26,592"
15211,"40.430276, -80.015278",Pittsburgh,12477,34067,"#18,518"
15212,"40.459375, -79.993899",Pittsburgh,31850,26712,"#26,912"
15213,"40.443175, -79.955405",Pittsburgh,28320,18473,"#30,877"
15214,"40.486209, -80.012771",Pittsburgh,17519,30725,"#22,668"
15215,"40.500514, -79.912204",Pittsburgh,13212,43750,"#9,028"
15216,"40.402538, -80.034133",Pittsburgh,24691,39526,"#12,539"
15217,"40.432096, -79.922563",Pittsburgh,26425,45173,"#8,277"
15218,"40.424171, -79.889648",Pittsburgh,14956,35983,"#16,236"
15219,"40.443268, -79.979819",Pittsburgh,19204,14399,"#31,459"
15220,"40.418327, -80.050036",Pittsburgh,19693,44018,"#8,891"
15221,"40.434406, -79.863660",Pittsburgh,36387,30668,"#22,740"
15222,"40.449245, -79.990645",Pittsburgh,1999,18598,"#30,860"
15223,"40.506235, -79.952521",Pittsburgh,7991,33724,"#18,946"
15224,"40.463898, -79.945097",Pittsburgh,12095,22880,"#29,409"
15225,"40.505430, -80.109201",Pittsburgh,1232,30625,"#22,822"
15226,"40.395753, -80.013734",Pittsburgh,14648,37889,"#14,025"
15227,"40.375468, -79.970347",Pittsburgh,29621,38439,"#13,518"
15228,"40.371065, -80.043363",Pittsburgh,17723,58440,"#3,282"
15229,"40.520152, -80.037449",Pittsburgh,13677,40562,"#11,559"
15232,"40.452565, -79.932673",Pittsburgh,11792,32552,"#20,222"
15233,"40.459618, -80.032164",Pittsburgh,4876,23841,"#28,896"
15234,"40.368552, -80.017575",Pittsburgh,14911,40756,"#11,388"
15235,"40.461050, -79.823149",Pittsburgh,39126,41367,"#10,821"
15236,"40.341330, -79.979290",Pittsburgh,30630,46913,"#7,262"
15237,"40.549177, -80.047857",Pittsburgh,42597,55016,"#4,141"
15238,"40.531849, -79.887906",Pittsburgh,13571,67370,"#1,822"
15239,"40.485261, -79.742933",Pittsburgh,21108,48415,"#6,556"
15241,"40.332859, -80.081851",Pittsburgh,20616,85102,#617
15243,"40.375511, -80.072372",Pittsburgh,13660,60717,"#2,841"
