review_count,categories,opentime,closetime,stars,priceRange,noiselevel,delivery,zipcodes,avg_Income,population
103,"[Diners, Restaurants]",0:00,0:00,3.5,1,average,FALSE,15224,22880,12095
26,"[Chinese, Restaurants]",11:00,21:00,3,2,average,FALSE,15222,18598,1999
41,"[Bars, American (Traditional), Pubs, Nightlife, Sports Bars, Restaurants]",11:00,2:00,3,2,average,FALSE,15222,18598,1999
3,"[Delis, Comfort Food, Restaurants]",11:00,18:00,3.5,0,NA,NA,15222,18598,1999
14,"[Chinese, Restaurants]",11:00,22:00,4,1,quiet,TRUE,15227,38439,29621
3,"[Restaurants, Mediterranean, Turkish]",8:00,21:00,4,2,quiet,TRUE,15213,18473,28320
67,"[Seafood, Restaurants]",10:00,22:00,3,1,average,FALSE,15222,18598,1999
179,"[American (New), Restaurants]",17:00,22:00,4,3,average,FALSE,15206,28517,32482
40,"[Bars, Restaurants, Nightlife, Italian]",11:00,2:00,3,2,average,FALSE,15224,22880,12095
7,"[Steakhouses, Restaurants]",10:00,17:00,2.5,1,loud,FALSE,15222,18598,1999
5,"[Caribbean, Restaurants]",11:00,22:00,4,1,quiet,FALSE,15221,30668,36387
65,"[Chinese, Restaurants]",11:00,21:30,3.5,2,quiet,TRUE,15219,14399,19204
61,"[Moroccan, Restaurants]",17:00,22:00,4.5,2,average,FALSE,15228,58440,17723
70,"[Indian, Restaurants]",11:30,22:00,3,2,average,TRUE,15217,45173,26425
126,"[Korean, Sushi Bars, Japanese, Restaurants]",10:30,21:00,4,1,average,FALSE,15213,18473,28320
227,"[Vegetarian, American (Traditional), Barbeque, Restaurants]",11:00,2:00,3.5,2,average,FALSE,15203,27595,9613
60,"[Health Markets, Food, Vegetarian, Restaurants, Specialty Food]",8:00,21:00,4.5,2,average,FALSE,15208,24178,13352
9,"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]",5:30,17:00,3,1,quiet,FALSE,15219,14399,19204
3,"[Pizza, Restaurants]",11:00,21:00,3.5,0,quiet,NA,15212,26712,31850
12,"[Sandwiches, Restaurants]",7:00,17:00,4,2,quiet,FALSE,15238,67370,13571
15,"[American (New), Restaurants]",17:00,21:00,4,2,average,FALSE,15202,34727,21022
399,"[American (Traditional), Restaurants]",11:00,0:00,4,2,loud,FALSE,15203,27595,9613
32,"[Italian, Pizza, Restaurants]",9:00,21:00,4,1,average,TRUE,15222,18598,1999
11,"[Restaurants, Italian]",8:00,21:00,3.5,2,average,TRUE,15236,46913,30630
3,"[Diners, Restaurants]",8:30,17:00,4,0,NA,NA,15220,44018,19693
32,"[Caterers, Event Planning & Services, Barbeque, Restaurants]",11:00,20:00,4,2,quiet,FALSE,15216,39526,24691
56,"[American (Traditional), Restaurants]",17:00,23:00,3.5,2,quiet,FALSE,15232,32552,11792
49,"[Steakhouses, Restaurants]",11:30,22:00,4,4,average,FALSE,15222,18598,1999
96,"[Breakfast & Brunch, American (New), Restaurants]",7:00,15:00,4,2,average,TRUE,15222,18598,1999
33,"[Restaurants, Italian]",17:00,23:00,4,3,quiet,TRUE,15213,18473,28320
63,"[Sandwiches, Restaurants]",11:00,20:30,4,1,average,FALSE,15217,45173,26425
17,"[Burgers, Restaurants]",11:00,21:00,2.5,2,loud,FALSE,15228,58440,17723
7,"[American (Traditional), Restaurants]",9:00,17:00,2.5,3,NA,FALSE,15222,18598,1999
14,"[Bars, American (New), Nightlife, Restaurants]",11:00,22:00,4,2,average,FALSE,15219,14399,19204
10,"[Pizza, Restaurants]",11:00,21:00,3,1,NA,TRUE,15226,37889,14648
13,"[Restaurants, Italian]",11:00,22:00,3,2,loud,FALSE,15222,18598,1999
121,"[Mexican, Restaurants]",11:00,0:00,2.5,2,average,FALSE,15232,32552,11792
136,"[Brasseries, Gluten-Free, French, Restaurants]",11:00,22:00,3.5,2,average,FALSE,15206,28517,32482
4,"[Restaurants, Pizza, Italian]",11:00,22:00,3,0,average,TRUE,15218,35983,14956
4,"[Indian, Restaurants]",7:30,20:00,3,1,quiet,NA,15222,18598,1999
10,"[Sandwiches, Restaurants]",7:30,17:00,3.5,1,average,FALSE,15228,58440,17723
6,"[American (New), Restaurants]",10:00,19:00,2.5,1,loud,FALSE,15222,18598,1999
11,"[Sandwiches, Restaurants]",7:00,18:00,4,1,loud,FALSE,15222,18598,1999
78,"[Bakeries, Food, Fish & Chips, Restaurants]",11:00,22:00,4.5,1,average,FALSE,15203,27595,9613
54,"[Pizza, Restaurants]",9:00,1:00,3.5,1,average,TRUE,15222,18598,1999
15,"[Chinese, Restaurants]",13:30,21:30,2.5,1,quiet,TRUE,15222,18598,1999
61,"[Sandwiches, Restaurants]",11:00,19:00,4,1,quiet,FALSE,15222,18598,1999
23,"[Pizza, Restaurants]",11:00,23:00,4,1,average,TRUE,15207,28156,13203
118,"[Thai, Tapas Bars, Restaurants]",11:30,22:00,3.5,2,average,FALSE,15217,45173,26425
32,"[American (Traditional), Restaurants]",11:30,21:00,3,1,loud,FALSE,15213,18473,28320
60,"[Pubs, Bars, American (New), Nightlife, Restaurants]",16:00,2:00,3.5,1,loud,FALSE,15217,45173,26425
39,"[Burmese, Chinese, Restaurants]",11:00,21:30,4,1,quiet,FALSE,15217,45173,26425
10,"[Sandwiches, Restaurants]",12:00,19:00,3,2,loud,FALSE,15212,26712,31850
7,"[Latin American, Restaurants]",17:00,0:00,3.5,2,average,NA,15203,27595,9613
32,"[American (New), Restaurants]",11:30,22:00,4,3,average,FALSE,15228,58440,17723
47,"[American (New), Restaurants]",11:00,0:00,3,2,average,FALSE,15228,58440,17723
50,"[American (New), Restaurants]",11:00,22:00,3,2,average,TRUE,15222,18598,1999
61,"[Sushi Bars, Restaurants]",11:30,14:30,4,2,average,TRUE,15203,27595,9613
50,"[Seafood, American (Traditional), Restaurants]",11:00,0:00,3.5,2,loud,FALSE,15219,14399,19204
115,"[Italian, Pizza, Restaurants]",11:00,1:00,4,2,average,FALSE,15217,45173,26425
33,"[Sushi Bars, Japanese, Restaurants]",11:30,14:30,3.5,3,average,FALSE,15220,44018,19693
7,"[Fast Food, Southern, Chicken Wings, Restaurants]",10:00,22:00,3,1,NA,FALSE,15203,27595,9613
65,"[Bars, American (Traditional), Nightlife, Restaurants]",11:00,0:00,3,2,average,FALSE,15222,18598,1999
125,"[Indian, Restaurants]",11:30,14:30,4,2,average,TRUE,15213,18473,28320
9,"[French, Restaurants]",11:00,23:00,3.5,4,NA,FALSE,15203,27595,9613
12,"[Sandwiches, Restaurants]",11:00,20:00,5,1,quiet,TRUE,15227,38439,29621
9,"[Food, Coffee & Tea, Cafes, Restaurants]",6:00,22:00,3,1,average,FALSE,15232,32552,11792
22,"[Greek, Restaurants]",9:00,21:00,4,1,loud,TRUE,15222,18598,1999
95,"[Vietnamese, Restaurants]",11:00,21:00,3.5,1,average,FALSE,15222,18598,1999
173,"[Breakfast & Brunch, Diners, Restaurants]",6:00,15:00,4.5,1,average,FALSE,15216,39526,24691
202,"[Diners, Restaurants]",7:00,15:00,4,1,average,FALSE,15222,18598,1999
11,"[Delis, Restaurants]",8:00,19:00,4.5,1,quiet,TRUE,15213,18473,28320
4,"[Pizza, American (New), Sandwiches, Restaurants]",10:00,1:00,3.5,0,quiet,NA,15219,14399,19204
5,"[Delis, Restaurants]",7:00,15:00,3,3,quiet,FALSE,15222,18598,1999
199,"[Wine Bars, Bars, Mediterranean, Nightlife, Restaurants]",11:30,22:00,4,3,average,FALSE,15206,28517,32482
105,"[Food, Beer, Wine & Spirits, American (New), Restaurants]",11:00,0:00,3.5,2,average,FALSE,15203,27595,9613
225,"[Pubs, Bars, Hot Dogs, Nightlife, Restaurants]",11:00,23:00,4.5,2,loud,FALSE,15218,35983,14956
43,"[Bars, American (New), Nightlife, Restaurants]",11:00,0:00,3,2,average,FALSE,15219,14399,19204
4,"[American (Traditional), Hot Dogs, Restaurants]",10:00,15:00,4.5,1,loud,FALSE,15212,26712,31850
4,"[Chicken Wings, Restaurants]",9:00,18:00,3.5,3,very_loud,NA,15212,26712,31850
5,[Restaurants],11:00,17:30,4.5,1,average,FALSE,15221,30668,36387
