,review_count,categories,opentime,closetime,stars,priceRange,noiselevel,delivery,zipcodes,avg_Income,population
0,103,Others,0:00,0:00,3.5,1,average,FALSE,15224,22880,12095
1,26,Chinese,11:00,21:00,3,2,average,FALSE,15222,18598,1999
2,41,American,11:00,2:00,3,2,average,FALSE,15222,18598,1999
3,3,Deli,11:00,18:00,3.5,0,,,15222,18598,1999
4,14,Chinese,11:00,22:00,4,1,quiet,TRUE,15227,38439,29621
5,3,Others,8:00,21:00,4,2,quiet,TRUE,15213,18473,28320
6,67,Seafood,10:00,22:00,3,1,average,FALSE,15222,18598,1999
7,179,American,17:00,22:00,4,3,average,FALSE,15206,28517,32482
8,40,Italian,11:00,2:00,3,2,average,FALSE,15224,22880,12095
9,7,Steakhouses,10:00,17:00,2.5,1,loud,FALSE,15222,18598,1999
10,5,Others,11:00,22:00,4,1,quiet,FALSE,15221,30668,36387
11,65,Chinese,11:00,21:30,3.5,2,quiet,TRUE,15219,14399,19204
12,61,Others,17:00,22:00,4.5,2,average,FALSE,15228,58440,17723
13,70,Others,11:30,22:00,3,2,average,TRUE,15217,45173,26425
14,126,Japanese,10:30,21:00,4,1,average,FALSE,15213,18473,28320
15,227,American,11:00,2:00,3.5,2,average,FALSE,15203,27595,9613
16,60,Others,8:00,21:00,4.5,2,average,FALSE,15208,24178,13352
17,9,Sandwiches,5:30,17:00,3,1,quiet,FALSE,15219,14399,19204
18,3,Pizza,11:00,21:00,3.5,0,quiet,,15212,26712,31850
19,12,Sandwiches,7:00,17:00,4,2,quiet,FALSE,15238,67370,13571
20,15,American,17:00,21:00,4,2,average,FALSE,15202,34727,21022
21,399,American,11:00,0:00,4,2,loud,FALSE,15203,27595,9613
22,32,Pizza,9:00,21:00,4,1,average,TRUE,15222,18598,1999
23,11,Italian,8:00,21:00,3.5,2,average,TRUE,15236,46913,30630
24,3,Others,8:30,17:00,4,0,,,15220,44018,19693
25,32,Others,11:00,20:00,4,2,quiet,FALSE,15216,39526,24691
26,56,American,17:00,23:00,3.5,2,quiet,FALSE,15232,32552,11792
27,49,Steakhouses,11:30,22:00,4,4,average,FALSE,15222,18598,1999
28,96,American,7:00,15:00,4,2,average,TRUE,15222,18598,1999
29,33,Italian,17:00,23:00,4,3,quiet,TRUE,15213,18473,28320
30,63,Sandwiches,11:00,20:30,4,1,average,FALSE,15217,45173,26425
31,17,Burgers,11:00,21:00,2.5,2,loud,FALSE,15228,58440,17723
32,7,American,9:00,17:00,2.5,3,,FALSE,15222,18598,1999
33,14,American,11:00,22:00,4,2,average,FALSE,15219,14399,19204
34,10,Pizza,11:00,21:00,3,1,,TRUE,15226,37889,14648
35,13,Italian,11:00,22:00,3,2,loud,FALSE,15222,18598,1999
36,121,Mexican,11:00,0:00,2.5,2,average,FALSE,15232,32552,11792
37,136,Others,11:00,22:00,3.5,2,average,FALSE,15206,28517,32482
38,4,Pizza,11:00,22:00,3,0,average,TRUE,15218,35983,14956
39,4,Others,7:30,20:00,3,1,quiet,,15222,18598,1999
40,10,Sandwiches,7:30,17:00,3.5,1,average,FALSE,15228,58440,17723
41,6,American,10:00,19:00,2.5,1,loud,FALSE,15222,18598,1999
42,11,Sandwiches,7:00,18:00,4,1,loud,FALSE,15222,18598,1999
43,78,Others,11:00,22:00,4.5,1,average,FALSE,15203,27595,9613
44,54,Pizza,9:00,1:00,3.5,1,average,TRUE,15222,18598,1999
45,15,Chinese,13:30,21:30,2.5,1,quiet,TRUE,15222,18598,1999
46,61,Sandwiches,11:00,19:00,4,1,quiet,FALSE,15222,18598,1999
47,23,Pizza,11:00,23:00,4,1,average,TRUE,15207,28156,13203
48,118,Thai,11:30,22:00,3.5,2,average,FALSE,15217,45173,26425
49,32,American,11:30,21:00,3,1,loud,FALSE,15213,18473,28320
50,60,American,16:00,2:00,3.5,1,loud,FALSE,15217,45173,26425
51,39,Chinese,11:00,21:30,4,1,quiet,FALSE,15217,45173,26425
52,10,Sandwiches,12:00,19:00,3,2,loud,FALSE,15212,26712,31850
53,7,American,17:00,0:00,3.5,2,average,,15203,27595,9613
54,32,American,11:30,22:00,4,3,average,FALSE,15228,58440,17723
55,47,American,11:00,0:00,3,2,average,FALSE,15228,58440,17723
56,50,American,11:00,22:00,3,2,average,TRUE,15222,18598,1999
57,61,Others,11:30,14:30,4,2,average,TRUE,15203,27595,9613
58,50,Seafood,11:00,0:00,3.5,2,loud,FALSE,15219,14399,19204
59,115,Pizza,11:00,1:00,4,2,average,FALSE,15217,45173,26425
60,33,Japanese,11:30,14:30,3.5,3,average,FALSE,15220,44018,19693
61,7,Others,10:00,22:00,3,1,,FALSE,15203,27595,9613
62,65,American,11:00,0:00,3,2,average,FALSE,15222,18598,1999
63,125,Others,11:30,14:30,4,2,average,TRUE,15213,18473,28320
64,9,Others,11:00,23:00,3.5,4,,FALSE,15203,27595,9613
65,12,Sandwiches,11:00,20:00,5,1,quiet,TRUE,15227,38439,29621
66,9,Others,6:00,22:00,3,1,average,FALSE,15232,32552,11792
67,22,Others,9:00,21:00,4,1,loud,TRUE,15222,18598,1999
68,95,Others,11:00,21:00,3.5,1,average,FALSE,15222,18598,1999
69,173,Others,6:00,15:00,4.5,1,average,FALSE,15216,39526,24691
70,202,Others,7:00,15:00,4,1,average,FALSE,15222,18598,1999
71,11,Deli,8:00,19:00,4.5,1,quiet,TRUE,15213,18473,28320
72,4,Sandwiches,10:00,1:00,3.5,0,quiet,,15219,14399,19204
73,5,Deli,7:00,15:00,3,3,quiet,FALSE,15222,18598,1999
74,199,Others,11:30,22:00,4,3,average,FALSE,15206,28517,32482
75,105,American,11:00,0:00,3.5,2,average,FALSE,15203,27595,9613
76,225,Others,11:00,23:00,4.5,2,loud,FALSE,15218,35983,14956
77,43,American,11:00,0:00,3,2,average,FALSE,15219,14399,19204
78,4,American,10:00,15:00,4.5,1,loud,FALSE,15212,26712,31850
79,4,Others,9:00,18:00,3.5,3,very_loud,,15212,26712,31850
80,5,Others,11:00,17:30,4.5,1,average,FALSE,15221,30668,36387
81,8,Deli,9:00,20:00,4.5,1,average,FALSE,15222,18598,1999
82,42,Middle Eastern,17:00,22:00,4,2,quiet,FALSE,15217,45173,26425
83,23,Others,7:30,17:00,4,2,quiet,TRUE,15220,44018,19693
84,5,Others,8:00,18:00,4,1,average,FALSE,15224,22880,12095
85,15,American,11:00,15:00,3.5,2,very_loud,FALSE,15212,26712,31850
86,33,American,12:00,2:00,4,2,loud,FALSE,15209,38292,12891
87,7,Burgers,18:00,22:00,3,2,average,,15203,27595,9613
88,105,Others,17:00,22:00,4.5,2,average,FALSE,15203,27595,9613
89,16,Others,11:00,20:00,4.5,2,quiet,FALSE,15226,37889,14648
90,8,Pizza,10:00,0:00,3.5,0,quiet,,15212,26712,31850
91,151,American,11:00,2:00,3.5,2,loud,FALSE,15213,18473,28320
92,4,American,23:00,21:00,4.5,1,quiet,FALSE,15203,27595,9613
93,11,Mexican,0:00,0:00,3.5,2,average,FALSE,15216,39526,24691
94,5,Chinese,12:00,21:00,3,1,,TRUE,15223,33724,7991
95,45,American,11:00,22:00,3.5,3,quiet,FALSE,15222,18598,1999
96,30,Others,6:30,14:00,3.5,4,quiet,FALSE,15219,14399,19204
97,3,Others,11:00,22:00,3.5,0,,,15221,30668,36387
98,6,Others,6:00,15:00,4,1,average,FALSE,15220,44018,19693
99,39,American,15:30,2:00,4,2,average,FALSE,15224,22880,12095
100,37,Seafood,9:00,17:00,2.5,2,average,FALSE,15222,18598,1999
